iter	Passed	Remaining
484	599	637
485	600	635
486	601	633
487	602	632
488	603	630
489	604	629
490	605	627
491	606	626
492	607	624
493	607	622
494	608	621
495	610	619
496	611	618
497	612	617
498	614	616
499	615	615
500	615	613
501	616	611
502	617	610
503	618	608
504	619	607
505	620	605
506	621	604
507	621	602
508	622	600
509	623	599
510	625	598
511	626	596
512	627	595
513	629	594
514	630	593
515	631	591
516	631	590
517	632	588
518	633	587
519	634	586
520	635	584
521	636	583
522	637	581
523	638	580
524	640	579
525	641	578
526	642	576
527	644	575
528	645	574
529	646	573
530	647	571
531	648	570
532	648	568
533	649	567
534	650	565
535	651	564
536	652	562
537	653	561
538	654	559
539	655	558
540	656	557
541	658	556
542	659	554
543	660	553
544	661	552
545	662	551
546	663	549
547	664	548
548	665	547
549	666	545
550	667	544
551	668	542
552	669	541
553	671	540
554	672	538
555	673	537
556	674	536
557	675	535
558	676	533
559	677	532
560	678	530
561	679	529
562	680	527
563	681	526
564	682	525
565	683	524
566	689	526
567	691	525
568	692	524
569	694	523
570	695	522
571	696	521
572	698	520
573	700	519
574	702	519
575	704	518
576	706	517
577	707	516
578	709	515
579	710	514
580	711	513
581	713	512
582	715	511
583	717	510
584	719	510
585	720	509
586	722	508
587	723	507
588	725	506
589	727	505
590	728	504
591	730	503
592	732	502
593	733	501
594	734	499
595	735	498
596	736	497
597	738	496
598	739	495
599	741	494
600	742	492
601	743	491
602	744	490
603	745	488
604	747	487
605	748	486
606	749	485
607	749	483
608	751	482
609	752	481
610	754	480
611	755	478
612	756	477
613	757	476
614	758	474
615	759	473
616	761	472
617	762	471
618	763	470
619	765	469
620	766	467
621	767	466
622	768	464
623	769	463
624	771	462
625	772	461
626	774	460
627	775	459
628	777	458
629	779	457
630	780	456
631	781	454
632	782	453
633	783	452
634	784	450
635	785	449
636	786	448
637	787	446
638	788	445
639	790	444
640	791	443
641	793	442
642	794	441
643	795	439
644	796	438
645	797	437
646	798	435
647	799	434
648	801	433
649	802	431
650	803	430
651	804	429
652	805	428
653	806	426
654	808	425
655	809	424
656	810	423
657	811	421
658	812	420
659	813	419
660	814	417
661	815	416
662	816	415
663	818	414
664	819	412
665	820	411
666	822	410
667	823	409
668	825	408
669	826	406
670	827	405
671	828	404
672	829	402
673	830	401
674	831	400
675	832	398
676	832	397
677	833	395
678	834	394
679	835	393
680	837	392
681	838	390
682	839	389
683	840	388
684	841	386
685	842	385
686	843	384
687	844	382
688	844	381
689	845	379
690	846	378
691	847	377
692	848	375
693	849	374
694	850	373
695	851	371
696	852	370
697	853	369
698	854	368
699	855	366
700	856	365
701	857	364
702	858	362
703	859	361
704	860	360
705	861	358
706	862	357
707	863	355
708	864	354
709	864	353
710	865	351
711	867	350
712	868	349
713	869	348
714	870	347
715	871	345
716	872	344
717	873	343
718	874	341
719	875	340
720	876	339
721	877	337
722	877	336
723	878	334
724	879	333
725	880	332
726	881	331
727	882	329
728	883	328
729	884	327
730	885	325
731	886	324
732	887	323
733	888	322
734	889	320
735	890	319
736	891	318
737	892	316
738	893	315
739	894	314
740	895	312
741	896	311
742	898	310
743	899	309
744	900	308
745	901	307
746	902	305
747	903	304
748	904	303
749	905	301
750	906	300
751	907	299
752	908	298
753	909	296
754	910	295
755	912	294
756	913	293
757	914	291
758	915	290
759	916	289
760	917	288
761	918	286
762	919	285
763	920	284
764	921	283
765	923	281
766	924	280
767	925	279
768	925	278
769	926	276
770	928	275
771	929	274
772	930	273
773	931	271
774	932	270
775	933	269
776	934	268
777	935	266
778	936	265
779	937	264
780	938	263
781	939	261
782	940	260
783	941	259
784	942	258
785	943	256
786	944	255
787	946	254
788	947	253
789	948	252
790	949	250
791	951	249
792	952	248
793	953	247
794	954	246
795	955	244
796	956	243
797	958	242
798	959	241
799	960	240
800	961	238
801	963	237
802	964	236
803	965	235
804	966	234
805	967	232
806	968	231
807	970	230
808	971	229
809	972	228
810	973	226
811	975	225
812	976	224
813	977	223
814	978	222
815	979	220
816	980	219
817	982	218
818	983	217
819	984	216
820	985	214
821	986	213
822	987	212
823	989	211
824	990	210
825	991	208
826	992	207
827	993	206
828	994	205
829	995	203
830	996	202
831	998	201
832	999	200
833	1000	199
834	1001	197
835	1002	196
836	1003	195
837	1004	194
838	1005	193
839	1006	191
840	1008	190
841	1009	189
842	1010	188
843	1011	186
844	1012	185
845	1013	184
846	1014	183
847	1015	181
848	1016	180
849	1017	179
850	1017	178
851	1019	177
852	1019	175
853	1020	174
854	1021	173
855	1022	171
856	1023	170
857	1024	169
858	1025	168
859	1025	167
860	1026	165
861	1027	164
862	1028	163
863	1029	162
864	1030	160
865	1031	159
866	1032	158
867	1033	157
868	1034	155
869	1035	154
870	1036	153
871	1037	152
872	1038	151
873	1039	149
874	1040	148
875	1041	147
876	1042	146
877	1043	144
878	1044	143
879	1044	142
880	1045	141
881	1046	140
882	1047	138
883	1048	137
884	1049	136
885	1050	135
886	1051	133
887	1052	132
888	1053	131
889	1054	130
890	1055	129
891	1056	127
892	1057	126
893	1058	125
894	1059	124
895	1060	123
896	1061	121
897	1062	120
898	1063	119
899	1064	118
900	1065	117
901	1066	115
902	1067	114
903	1068	113
904	1069	112
905	1070	111
906	1071	109
907	1072	108
908	1073	107
909	1074	106
910	1075	105
911	1076	103
912	1077	102
913	1078	101
914	1079	100
915	1080	99
916	1081	97
917	1082	96
918	1083	95
919	1084	94
920	1085	93
921	1086	91
922	1087	90
923	1087	89
924	1088	88
925	1089	87
926	1090	85
927	1091	84
928	1092	83
929	1093	82
930	1094	81
931	1095	79
932	1096	78
933	1097	77
934	1098	76
935	1099	75
936	1101	74
937	1102	72
938	1103	71
939	1104	70
940	1105	69
941	1106	68
942	1107	66
943	1108	65
944	1109	64
945	1111	63
946	1112	62
947	1113	61
948	1114	59
949	1115	58
950	1116	57
951	1117	56
952	1118	55
953	1119	53
954	1120	52
955	1121	51
956	1122	50
957	1123	49
958	1125	48
959	1126	46
960	1127	45
961	1128	44
962	1130	43
963	1131	42
964	1132	41
965	1133	39
966	1134	38
967	1135	37
968	1137	36
969	1138	35
970	1139	34
971	1140	32
972	1141	31
973	1142	30
974	1143	29
975	1144	28
976	1145	26
977	1146	25
978	1146	24
979	1147	23
980	1148	22
981	1149	21
982	1150	19
983	1151	18
984	1152	17
985	1153	16
986	1154	15
987	1155	14
988	1156	12
989	1157	11
990	1158	10
991	1159	9
992	1160	8
993	1161	7
994	1162	5
995	1163	4
996	1163	3
997	1164	2
998	1165	1
999	1166	0
